vol.	page	kāṇḍa	sarga	from v.	to v.	ipage	remark(s)			
I	---	---	---	---	---	1a	page missing	1	a	1a
I	492	2	58	33	37	121a		121	a	121a
I	492	2	59	1	4	121a				121a
I	493	2	59	5	15	121b		121	b	121b
I	494	2	59	16	25	122a		122	a	122a
I	495	2	59	26	33	122b		122	b	122b
I	495	2	60	1	1	122b				122b
I	496	2	60	2	13	123a		123	a	123a
I	497	2	60	14	21	123b		123	b	123b
I	498	2	60	22	23	124a		124	a	124a
I	498	2	61	1	8	124a				124a
I	499	2	61	9	14	124b		124	b	124b
I	500	2	61	15	21	125a		125	a	125a
I	501	2	61	22	27	125b		125	b	125b
I	501	2	62	1	3	125b				125b
I	502	2	62	4	14	126a		126	a	126a
I	503	2	62	15	20	126b		126	b	126b
I	503	2	63	1	2	126b				126b
I	504	2	63	3	12	127a		127	a	127a
I	505	2	63	13	20	127b		127	b	127b
I	506	2	63	21	32	128a		128	a	128a
I	507	2	63	33	45	128b		128	b	128b
I	508	2	63	46	54	129a		129	a	129a
I	508	2	64	1	1	129a				129a
I	509	2	64	2	11	129b		129	b	129b
I	510	2	64	12	22	130a		130	a	130a
I	511	2	64	23	32	130b		130	b	130b
I	512	2	64	33	39	131a		131	a	131a
I	513	2	64	40	49	131b		131	b	131b
I	514	2	64	50	60	132a		132	a	132a
